Trait,Domain,Category,Branch,Tier,Cost,Display,Req,X
Martial Combinations ,Humanoid,Knowledge and Science,Martial Arts,T2,6,Increase Attacks 1 Unarmed Combat Only,,
Martial Art Weapons ,Humanoid,Knowledge and Science,Martial Arts,T2,4,Martial Extension 1,Class Trait Only,
Martial Mastery 1,Humanoid,Knowledge and Science,Martial Arts,T2,10,Quickness 2 Unarmed Combat Only,Class Trait Only (Level 3+),
Close Quarter Fighting ,Humanoid,Knowledge and Science,Military Training,T1,6,Increase Martial 1,,
Group Training ,Humanoid,Knowledge and Science,Military Training,T1,2,Squad Size 1,,
Military Discipline ,Humanoid,Knowledge and Science,Military Training,T1,4,Increase Discipline 1,,
Military Spears,Humanoid,Knowledge and Science,Military Training,T1,0,Armory: Military Spears 8pts,,
Pikes,Humanoid,Knowledge and Science,Military Training,T1,0,Armory: Pikes 10pts,,
Targeting Ranges ,Humanoid,Knowledge and Science,Military Training,T1,6,Increase Ranged 1,,
Deadly Assassin 1,Humanoid,Knowledge and Science,Military Training,T2,12,Assassination 2,Class Trait Only,
Elite Training ,Humanoid,Knowledge and Science,Military Training,T2,6,War Veterans,Class Trait Only,
Holding the Line ,Humanoid,Knowledge and Science,Military Training,T2,2,Increase Discipline 2,,
Heavy Lance,Humanoid,Knowledge and Science,Military Training,T2,0,Armory: Heavy Lance 10pts,,
Martial Mastery ,Humanoid,Knowledge and Science,Military Training,T2,8,Increase Martial 1,,
Polearms,Humanoid,Knowledge and Science,Military Training,T2,0,Armory: Bill-Guisarmes 9pts; Armory: Halberd 9pts,,
Sharpshooter 1,Humanoid,Knowledge and Science,Military Training,T2,10,Increase Ranged 1,,
Skilled Combatant 1,Humanoid,Knowledge and Science,Military Training,T2,10,Increase Attacks 1,,
Physical Power ,Humanoid,Knowledge and Science,Strength,T1,2,Increase Critical Damage 1 (Melee Only),,
Physical Strength ,Humanoid,Knowledge and Science,Strength,T1,3,Increase Strength 1,,
Physical Prowess ,Humanoid,Knowledge and Science,Strength,T2,8,Increase Martial 1,,
Incredible Strength ,Humanoid,Knowledge and Science,Strength,T2,6,Increase Strength 1,,
Powerful Strike ,Humanoid,Knowledge and Science,Strength,T2,6,Smite,,
Sweep Attack ,Humanoid,Knowledge and Science,Strength,T2,6,Arc Attack 3,,
Arcane Wands 1,Humanoid,Knowledge and Science,Technomancy,T1,10,Arcane Wand 1,Class Trait Only,
Faith Iconology ,Humanoid,Knowledge and Science,Technomancy,T1,5,Spiritual Relic 1,Class Trait Only,
Apprentice Artificer 1,Humanoid,Knowledge and Science,Technomancy,T1,10,Technomancy 1,,
Artificer Construction 2,Humanoid,Knowledge and Science,Technomancy,T2,20,Technomancy 1; Golem Construction,Class Trait Only (Level 3+),
Staves of Power 1,Humanoid,Knowledge and Science,Technomancy,T2,10,Arcane Staff 1,Class Trait Only (Level 3+),
Steam Infusion 1,Humanoid,Knowledge and Science,Technomancy,T2,18,Technomancy 1; Infused Items 1,,
Chariots ,Humanoid,Knowledge and Science,Vehicles,T1,0,Armory: Chariot 10pts,1st Age,
Wagons,Humanoid,Knowledge and Science,Vehicles,T1,0,Armory: War Wagons 30pts,1st Age,
War Chariots ,Humanoid,Knowledge and Science,Vehicles,T2,0,Armory: Advanced Chariot 1 15pts,,
War Wagons,Humanoid,Knowledge and Science,Vehicles,T2,0,Armory: War Wagon 1 25pts,,
Celestial Radiance,Fey,Light,Celestial,T1,12,Increase Willpower 1; Increase Martial 1,,
Elysian Biests,Fey,Light,Celestial,T1,15,Monster 3,Progression Points; Class Trait Only,
Forces of Light,Fey,Light,Celestial,T1,3,Opposing Forces 2 (Infernal); Opposing Forces 1 (Other Darkness),,
Heavenly Host,Fey,Light,Celestial,T1,2,Bonus Class 2,,
Parting Darkness,Fey,Light,Celestial,T1,0,Powers 1 - Celestial T1,,
Eternal War,Fey,Light,Celestial,T1,8,War Veterans,,
Weapons of Light,Fey,Light,Celestial,T1,0,Weapons of Light,,
Angelic Command,Fey,Light,Celestial,T2,20,Increase Command a,Exclusive,
Divine Power,Fey,Light,Celestial,T2,0,Powers 1 - Celestial,,
Greater Celestial Aura,Fey,Light,Celestial,T2,15,Enhance MTN 2 (Celestials only 12”),,
Sacred,Fey,Light,Celestial,T2,15,Increase Wounds 1,,
The Celestial Light,Fey,Light,Celestial,T2,0,Powers 1 - Celestial T2,,
Celestial Wings,Fey,Light,Celestial,T2,14,Agile Flyer,,
Seraphim,Fey,Light,Celestial,D,8,Increase Strength 2,,
Cherubim,Fey,Light,Celestial,D,14,Increase Willpower 1; Power Adept 1,,
Entropic Strike,Fey,Light,Ascended,T1,8,Smite,,
Rise of the Ascended,Fey,Light,Ascended,T1,10,Flight,,
Inner Strength,Fey,Light,Ascended,T1,6,Increase Toughness 1,,
Inner Fire,Fey,Light,Ascended,T1,4,Increase Willpower 1,,
Lesser Form,Fey,Light,Ascended,T1,0,1st Tier Powers 1 (Ascended Powers),,
Non-Corporeal,Fey,Light,Ascended,T1,8,Ethereal Form 2,,
Advanced Form,Fey,Light,Ascended,T2,0,1st Tier or 2nd Tier Powers 1 (Ascended Powers),,
Beyond Divinity,Fey,Light,Ascended,T2,30,Forbidden Lore,,
Divine Word,Fey,Light,Ascended,T2,25,Increase Command 3,,
Divine Absorption,Fey,Light,Ascended,T2,35,Energy Absorption 2; Prerequisite Trait: Transcendence,,
Purity of Form,Fey,Light,Ascended,T2,0,2nd Tier Powers 1 (Ascended Powers),,
Exalted Transcendence,Fey,Light,Ascended,T2,50,Transcendence; Exclusive; Prerequisite Trait: Ascendent,,
Reverent,Fey,Light,Ascended,D,12,Reverent 2; Increase Strength 2,,
Ascendent,Fey,Light,Ascended,D,15,Ascendent; Increase Defense 1,,
Aura of Valor,Fey,Light,Courage,T1,5,Increase Discipline 2,,
Bravery,Fey,Light,Courage,T1,7,Increase Martial Target Number (MTN) 1; Increase Ranged Target Number (RTN) 1,,
Command from the Front,Fey,Light,Courage,T1,8,Frontline Command 2,,
Fortitude of Valor,Fey,Light,Courage,T1,8,Increase Morale 2; Increase Toughness 1,,
Unbreakable Courage,Fey,Light,Courage,T1,4,Unbreakable Courage,,
Strength of Will,Fey,Light,Courage,T2,6,Fearless,,
Impervious Courage,Fey,Light,Courage,T2,20,Avoid Wound α; Exclusive,,
Inspired Battle,Fey,Light,Courage,T2,40,Inspired War Veterans 2; Exclusive,,
Breaking the Enemy,Fey,Light,Courage,T2,6,Breaking Assault 3,,
Paladin,Fey,Light,Courage,D,14,Increase Morale 2; Increase Willpower 2,,
Knight,Fey,Light,Courage,D,14,Increase Toughness 1; Combat Enhancement 2 (Offensive Melee Combat Only),,
Mountain Bear,Ursidae - Bear,Kingdom/Region,Ursidae - Bear,T1,0,Regional Affinity 1 - Mountains,,
Large Claws,Ursidae - Bear,Kingdom/Region,Ursidae - Bear,T1,4,(Natural Weapons): Claws 1,,
Raw Strength,Ursidae - Bear,Kingdom/Region,Ursidae - Bear,T1,4,Raw Strength 1,,
Survivalist,Ursidae - Bear,Kingdom/Region,Ursidae - Bear,T1,3,Survivalist 1,,
Unshakable,Ursidae - Bear,Kingdom/Region,Ursidae - Bear,T1,4,Unshakeable,,
Ursidae Charge,Ursidae - Bear,Kingdom/Region,Ursidae - Bear,T2,4,Burst of Speed 4,,
Powerful Natural Weapons,Ursidae - Bear,Kingdom/Region,Ursidae - Bear,T2,5,(Natural Weapons): Muscle 1 - Claws Morph; Class Trait Only,,
Greater Ursidae,Ursidae - Bear,Kingdom/Region,Ursidae - Bear,T2,0,Regional Affinity 2 - Arctic or Caverns,,
Mega Ursidae,Ursidae - Bear,Kingdom/Region,Ursidae - Bear,T2,35,Increase Wounds 1; Increase Size 1; Increase Toughness 1,,
Deadly Charge,Ursidae - Bear,Kingdom/Region,Ursidae - Bear,T2,5,Shock Attack,,
Alertness,Canus Lupus - Wolf,Kingdom/Region,Canus Lupus - Wolf,T1,2,Sentry 10,,
Behavioral Discipline,Canus Lupus - Wolf,Kingdom/Region,Canus Lupus - Wolf,T1,4,Increase Discipline 2,,
Timber Wolf,Canus Lupus - Wolf,Kingdom/Region,Canus Lupus - Wolf,T1,0,Regional Affinity 1 - Forest,,
Pack Order,Canus Lupus - Wolf,Kingdom/Region,Canus Lupus - Wolf,T1,1,Bonus Class 1 - Level 1; Species Trait Only,,
Skilled Pack Tactics,Canus Lupus - Wolf,Kingdom/Region,Canus Lupus - Wolf,T1,5,Skilled Pack 1,,
Alpha Wolf,Canus Lupus - Wolf,Kingdom/Region,Canus Lupus - Wolf,T2,45,Alpha Wolf; Level 3+ Class Trait Only,,
Beta Wolf,Canus Lupus - Wolf,Kingdom/Region,Canus Lupus - Wolf,T2,8,Beta Wolf; Level 2+ Class Trait Only,,
Command of the Alpha,Canus Lupus - Wolf,Kingdom/Region,Canus Lupus - Wolf,T2,10,Increase Command 2,,
Dire Wolfen,Canus Lupus - Wolf,Kingdom/Region,Canus Lupus - Wolf,T2,15,Increase Size 1; Increase Wounds 1,,
Greater Wolfen,Canus Lupus - Wolf,Kingdom/Region,Canus Lupus - Wolf,T2,0,Regional Affinity 2 - Moon or Mountain,,
Aerial Vision,Avian Aves - Bird,Kingdom/Region,Avian Aves - Bird,T1,6,All Around Sight 2 - vs Ranged Attacks Only,,
Avian Councils,Avian Aves - Bird,Kingdom/Region,Avian Aves - Bird,T1,1,Bonus Class 1 - Level 2; Species Trait Only,,
Avian Flight,Avian Aves - Bird,Kingdom/Region,Avian Aves - Bird,T1,5,Flight,,
Skyborne,Avian Aves - Bird,Kingdom/Region,Avian Aves - Bird,T1,0,Regional Affinity 1 - Sky Long Talons 4pts (Natural Weapons): Talons 1,,
Air Agility,Avian Aves - Bird,Kingdom/Region,Avian Aves - Bird,T2,8,Agile Flyer; Swooping Attack; Prerequisite Trait: Flight,,
Area Awareness,Avian Aves - Bird,Kingdom/Region,Avian Aves - Bird,T2,8,Sentry 16,,
Avian Predator,Avian Aves - Bird,Kingdom/Region,Avian Aves - Bird,T2,4,Efficient Predator 1,,
Ranged Precision,Avian Aves - Bird,Kingdom/Region,Avian Aves - Bird,T2,5,Ranged Precision 2,,
Regional Adaptations,Avian Aves - Bird,Kingdom/Region,Avian Aves - Bird,T2,0,Regional Affinity 1 - Your Choice - Select One,,
Chain Mail,Bor - Boar,Kingdom/Region,Bor - Boar,T1,0,Armory: Medium Armor 10pts,,
Dark Holes,Bor - Boar,Kingdom/Region,Bor - Boar,T1,0,Regional Affinity 1 - Marsh or Caverns,,
Polearms,Bor - Boar,Kingdom/Region,Bor - Boar,T1,0,Armory: Bill-Guisarmes 10pts; Halberd 10pts;,,
Tribal,Bor - Boar,Kingdom/Region,Bor - Boar,T1,2,Bonus Class 2 - Level 1; Species Trait Only,,
War Drums,Bor - Boar,Kingdom/Region,Bor - Boar,T1,2,Increase Discipline 2,,
Greater Bor,Bor - Boar,Kingdom/Region,Bor - Boar,T2,10,Increase Strength 1; Increase size 1;,,
Martial Weapons,Bor - Boar,Kingdom/Region,Bor - Boar,T2,0,Armory: Martial Axes 5pts; Battle Axes 8pts; Martial Hammers 6pts; Warhammers 10pts,,
Occult,Bor - Boar,Kingdom/Region,Bor - Boar,T2,5,Occult 1 - Darkness Only; Occult Powers 1; Class Trait Only,,
Only the Strong Rule,Bor - Boar,Kingdom/Region,Bor - Boar,T2,8,Might Makes Right,,
Unyielding Charger,Bor - Boar,Kingdom/Region,Bor - Boar,T2,12,Charger 2; Unyielding Charge,,
Packrat,Ovis - Ram,Kingdom/Region,Ovis - Ram,T1,0,Scavenger 1 - Common Weapons Only,,
Dirty Fighting,Ovis - Ram,Kingdom/Region,Ovis - Ram,T1,5,Dirty Fighting,,
Power Resistance,Ovis - Ram,Kingdom/Region,Ovis - Ram,T1,4,Resistance Powers 1 ,,
Powerful Charge,Ovis - Ram,Kingdom/Region,Ovis - Ram,T1,6,Charger 1,,
Regional Expansion,Ovis - Ram,Kingdom/Region,Ovis - Ram,T1,0,Regional Affinity - Your Choice (Not Oceans or Sky),,
Greater Ovis,Ovis - Ram,Kingdom/Region,Ovis - Ram,T2,8,Increase Size 1,,
Martial Weapons,Ovis - Ram,Kingdom/Region,Ovis - Ram,T2,0,Armory: Martial Axes 5pts; Battle Axes 8pts,,
Stubborn Aggression,Ovis - Ram,Kingdom/Region,Ovis - Ram,T2,10,Enhance Strength 2 - Melee Combat Only; Reduce Martial Target Number (MTN) 2,,
Shamanism,Ovis - Ram,Kingdom/Region,Ovis - Ram,T2,5,Shaman 2; Class Trait Only,,
Scent of Blood,Ovis - Ram,Kingdom/Region,Ovis - Ram,T2,12,Lure of Blood 2 - Melee Combat Only,,
Dungeons Dark,Taurus - Bull,Kingdom/Region,Taurus - Bull,T1,0,Regional Affinity 1 - Marsh or Caverns,,
Large Taurus,Taurus - Bull,Kingdom/Region,Taurus - Bull,T1,8,Increase Size 1,,
Longhorn,Taurus - Bull,Kingdom/Region,Taurus - Bull,T1,5,(Natural Weapon): Horns 1,,
Partial Plate Armor,Taurus - Bull,Kingdom/Region,Taurus - Bull,T1,0,Armory: Medium Armor 12pts,,
Powerful Charge,Taurus - Bull,Kingdom/Region,Taurus - Bull,T1,10,Charger 2 ,,
Brutal Charge,Taurus - Bull,Kingdom/Region,Taurus - Bull,T2,6,Maiming 1 - Toughness,,
Bull Charge,Taurus - Bull,Kingdom/Region,Taurus - Bull,T2,8,Trample 2,,
Martial Weapons,Taurus - Bull,Kingdom/Region,Taurus - Bull,T2,0,Armory: Martial Axes 5pts; Battle Axes 8pts,,
Great Bull,Taurus - Bull,Kingdom/Region,Taurus - Bull,T2,20,Increase Wounds 1; Increase Size 1,,
Shamanism,Taurus - Bull,Kingdom/Region,Taurus - Bull,T2,4,Shaman 1; Class Trait Only ,,
Feline Awareness,Feline - Cat,Kingdom/Region,Feline - Cat,T1,4,All Around Sight 1,,
Feline Jumping,Feline - Cat,Kingdom/Region,Feline - Cat,T1,6,Leap 9 ,,
Quick Speed,Feline - Cat,Kingdom/Region,Feline - Cat,T1,3,Burst of Speed 2,,
Remote Places,Feline - Cat,Kingdom/Region,Feline - Cat,T1,0,Regional Affinity 1 - Desert; Plains; or Forest,,
Righting Reflex,Feline - Cat,Kingdom/Region,Feline - Cat,T1,1,Innate Falling,,
Stealth,Feline - Cat,Kingdom/Region,Feline - Cat,T1,4,Stealth 2,,
Alertness,Feline - Cat,Kingdom/Region,Feline - Cat,T2,5,Sentry 10,,
Large Hunter,Feline - Cat,Kingdom/Region,Feline - Cat,T2,8,Increase Size 1,,
Feline Relentless Assault,Feline - Cat,Kingdom/Region,Feline - Cat,T2,15,Relentless Assault 1,,
Top Predator,Feline - Cat,Kingdom/Region,Feline - Cat,T2,2,Efficient Predator 2,,
Shadow Stepping,Feline - Cat,Kingdom/Region,Feline - Cat,T2,8,Infiltrate 30,,
Battlefield Scavenger,Vermin - Rat,Kingdom/Region,Vermin - Rat,T1,0,Scavenger 1 - Common Weapons and Armor,,
Concealment,Vermin - Rat,Kingdom/Region,Vermin - Rat,T1,3,Concealment 2 ,,
Rat Horde,Vermin - Rat,Kingdom/Region,Vermin - Rat,T1,1,Hordes 3,,
Surprise Assault,Vermin - Rat,Kingdom/Region,Vermin - Rat,T1,2,Surprise Assault,,
Vermin Tunnels,Vermin - Rat,Kingdom/Region,Vermin - Rat,T1,3,Tunnel Systems 2,,
Evasive,Vermin - Rat,Kingdom/Region,Vermin - Rat,T2,8,Evasion 2 ,,
Tunnel Infestation,Vermin - Rat,Kingdom/Region,Vermin - Rat,T2,4,Forward Tunnels,,
Great Ones,Vermin - Rat,Kingdom/Region,Vermin - Rat,T2,4,Occult 1; Class Trait Only,,
Surge,Vermin - Rat,Kingdom/Region,Vermin - Rat,T2,4,Taking the Initiative 2,,
Forward Infiltration,Vermin - Rat,Kingdom/Region,Vermin - Rat,T2,4,Infiltrate 24,,
Fast Sprinter,Caballis - Horse,Kingdom/Region,Caballis - Horse,T1,7,Natural Sprinter 3,,
Improved Bows,Caballis - Horse,Kingdom/Region,Caballis - Horse,T1,0,Armory: Advanced Ranged Weapons 1 8pts,,
Partial Plate Armor,Caballis - Horse,Kingdom/Region,Caballis - Horse,T1,0,Armory: Medium Armor 12pts,,
Somewhere to Roam,Caballis - Horse,Kingdom/Region,Caballis - Horse,T1,0,Regional Affinity 1 - Plains or Forest,,
Trampling Attacks,Caballis - Horse,Kingdom/Region,Caballis - Horse,T1,6,Trample 1,,
Horse Lance,Caballis - Horse,Kingdom/Region,Caballis - Horse,T2,0,Armory: Heavy Lance 12pts,,
Military Training,Caballis - Horse,Kingdom/Region,Caballis - Horse,T2,6,Increase Martial 1; or Ranged 1;,,
Warhorse,Caballis - Horse,Kingdom/Region,Caballis - Horse,T2,15,Increase Size 1; Increase Wounds 1,,
Scarred Veteran,Caballis - Horse,Kingdom/Region,Caballis - Horse,T2,8,War Veterans,,
Warlord,Caballis - Horse,Kingdom/Region,Caballis - Horse,T2,10,Increase Command 2; Class Trait Only (Level 3+),,
Mysteries of the Deep,Ichthys - Fish,Kingdom/Region,Ichthys - Fish,T1,5,Occult 1; or Shaman 1; Class Trait Only,,
Oceanborne,Ichthys - Fish,Kingdom/Region,Ichthys - Fish,T1,0,Regional Affinity 1 - Oceans,,
Sea Animals,Ichthys - Fish,Kingdom/Region,Ichthys - Fish,T1,0,Warmount; Warmount (Heavyweight); Mount,,
Throwing Proficiency,Ichthys - Fish,Kingdom/Region,Ichthys - Fish,T1,4,Accuracy 6,,
Tridents,Ichthys - Fish,Kingdom/Region,Ichthys - Fish,T1,0,Armory: Military Spears 6pts,,
Command of the Sea,Ichthys - Fish,Kingdom/Region,Ichthys - Fish,T2,10,Enhancement Command 2; Class Trait Only (Level 3+),,
From the Depths,Ichthys - Fish,Kingdom/Region,Ichthys - Fish,T2,15,Increase Defense 1; Increase Size 1,,
Knowledge of the Sea,Ichthys - Fish,Kingdom/Region,Ichthys - Fish,T2,2,Class Maximum Traits 2,,
Large Creature,Ichthys - Fish,Kingdom/Region,Ichthys - Fish,T2,10,Increase Size 1; Increase Characteristic 1 - Your Choice; Class Only Trait,,
Scale Mail Armor,Ichthys - Fish,Kingdom/Region,Ichthys - Fish,T2,0,Armory: Medium Armor 10pts,,
Combat Movement,Biest,Kingdom/Region,Caverns,T1,3,Combat Mobility 2,,
Darkness Awaits,Biest,Kingdom/Region,Caverns,T1,8,(Natural Weapons): Natural Weapon 1 - Your Choice,,
Powerful Creatures,Biest,Kingdom/Region,Caverns,T1,3,Increase Strength 1,,
Survival in the Dark,Biest,Kingdom/Region,Caverns,T1,6,Increase Martial 1,,
Underground Sight,Biest,Kingdom/Region,Caverns,T1,1,Night Sight 30,,
Blind Sight,Biest,Kingdom/Region,Caverns,T2,6,Blind Sight,,
Cave Beast,Biest,Kingdom/Region,Caverns,T2,15,Increase Size 2; Increase Wounds 1,,
Cavern System,Biest,Kingdom/Region,Caverns,T2,10,Tunnel Systems 2; Forward Tunnels 1,,
Deadly Mutation,Biest,Kingdom/Region,Caverns,T2,15,(Natural Weapons): Phenotypic Morph 2 - your choice,,
Movement Below,Biest,Kingdom/Region,Caverns,T2,8,Subterranean Movement 2,,
Burning Sands,Biest,Kingdom/Region,Desert,T1,4,Increase Strength 1,,
Extremis Resistance,Biest,Kingdom/Region,Desert,T1,3,Resistance Extremis 1 (Fire and Lightning); Weakness 1,,
Harsh Lands,Biest,Kingdom/Region,Desert,T1,2,Increase Discipline 1,,
Desert Nomads,Biest,Kingdom/Region,Desert,T1,1,Bonus Class 1 - Level 1; Species Trait Only,,
Shifting Winds,Biest,Kingdom/Region,Desert,T1,5,Increase Movement 1,,
Burrowing Sands,Biest,Kingdom/Region,Desert,T2,15,Subterranean Movement 3,,
Desert Command,Biest,Kingdom/Region,Desert,T2,10,Increase Command 2,,
Harsh Adaptations,Biest,Kingdom/Region,Desert,T2,12,(Natural Weapons): Phenotypic Morph 1 - Your Choice,,
Improved Distance,Biest,Kingdom/Region,Desert,T2,5,Accuracy 6,,
The Long Game,Biest,Kingdom/Region,Desert,T2,7,End Game Bonus 2,,
Blending In,Biest,Kingdom/Region,Forests,T1,4,Chameleon 2,,
Forest Battle Training,Biest,Kingdom/Region,Forests,T1,6,Increase Marital 1 or Increased Ranged 1,,
Pathfinder,Biest,Kingdom/Region,Forests,T1,5,Increase Movement 1 or All Around Sight 1,,
Shadows of the Forest,Biest,Kingdom/Region,Forests,T1,4,Infiltrate 20,,
Woodland Stealth,Biest,Kingdom/Region,Forests,T1,4,Stealth 1,,
Forest Deployment,Biest,Kingdom/Region,Forests,T2,10,Deceptive Advantage,,
Forest Survival,Biest,Kingdom/Region,Forests,T2,8,Increase Martial 1 or Increase Ranged 1,,
Hidden,Biest,Kingdom/Region,Forests,T2,5,Cannot be Seen,,
Old Blood,Biest,Kingdom/Region,Forests,T2,12,Increase Willpower 2,,
Tight Quarters,Biest,Kingdom/Region,Forests,T2,3,Confined Combat 1,,
Combat Survival,Biest,Kingdom/Region,Marsh,T1,6,Increase Martial Target Number (MTN) 1,,
Finding the target,Biest,Kingdom/Region,Marsh,T1,8,Reduce Cover 2,,
Marsh sight,Biest,Kingdom/Region,Marsh,T1,2,Refractive Sight,,
Strength in Numbers,Biest,Kingdom/Region,Marsh,T1,1,Squad Size 1,,
Swamp Battle Training,Biest,Kingdom/Region,Marsh,T1,6,Increase Martial 1 or Ranged 1,,
Ambush Assault,Biest,Kingdom/Region,Marsh,T2,4,Ambush Assault 2,,
Extreme Natural Evolution,Biest,Kingdom/Region,Marsh,T2,20,(Natural Weapons): Natural Weapon 2; Phenotypic Morph 1,,
Hidden,Biest,Kingdom/Region,Marsh,T2,5,Cannot be Seen,,
Swamp Rat,Biest,Kingdom/Region,Marsh,T2,6,"Infiltrate 24"" ",,
Marshland Survival,Biest,Kingdom/Region,Marsh,T2,12,Increase Defense 1,,
Moonlit,Biest,Kingdom/Region,Moon,T1,5,Moon Adaptation 1,,
Preferred Night,Biest,Kingdom/Region,Moon,T1,2,Night Advantage 1,,
Enhanced Sight,Biest,Kingdom/Region,Moon,T1,3,Ethereal Sight 15; Night Sight 24,,
The Caged Animal,Biest,Kingdom/Region,Moon,T1,5,Increase Strength 1,,
Savagery,Biest,Kingdom/Region,Moon,T1,7,Increase Martial 1; Increase Melee Damage 1,,
Heightened Senses,Biest,Kingdom/Region,Moon,T2,10,All Around Sight 2,,
Shamans,Biest,Kingdom/Region,Moon,T2,6,Shaman 2 - Class Trait Only,,
Supernatural Werebeast,Biest,Kingdom/Region,Moon,T2,48,Werebeast - Supernatural 1; Class Trait Only (Level 3+); Prerequisite Trait: Therianthropy,,
Werebeast,Biest,Kingdom/Region,Moon,T2,5,Therianthropy,,
Unnatural Werebeast,Biest,Kingdom/Region,Moon,T2,18,Werebeast - Unnatural Abilities 2; Prerequisite Trait: Therianthropy,,
High Ground Advantage,Biest,Kingdom/Region,Mountains,T1,3,High Ground 1,,
Mountain Adaptability,Biest,Kingdom/Region,Mountains,T1,4,(Natural Weapons): Natural Weapon 1 - Your Choice (Melee Only),,
Mountain Strength,Biest,Kingdom/Region,Mountains,T1,6,Increase Strength 1,,
Finding the target,Biest,Kingdom/Region,Mountains,T1,4,Reduce Cover 1,,
Vertical Movement,Biest,Kingdom/Region,Mountains,T1,2,Climbing 5,,
Alertness,Biest,Kingdom/Region,Mountains,T2,3,Sentry 10,,
Mountain Fortitude,Biest,Kingdom/Region,Mountains,T2,6,Increase Toughness 1,,
Mountain Mutation,Biest,Kingdom/Region,Mountains,T2,15,(Natural Weapons): Biomorph 2 - Melee Only,,
Spiritual Awareness,Biest,Kingdom/Region,Mountains,T2,10,Increase Willpower 2,,
Vertical Awareness,Biest,Kingdom/Region,Mountains,T2,6,Increase Ranged Target Number (RTN) 1,,
Open Sea,Biest,Kingdom/Region,Oceans,T1,4,Increase Ranged 1,,
Fluid Movement,Biest,Kingdom/Region,Oceans,T1,6,Increase Ranged Target Number (RTN) 1,,
Ocean Depths,Biest,Kingdom/Region,Oceans,T1,8,Increase Size 1,,
Undersight,Biest,Kingdom/Region,Oceans,T1,1,Refractive Sight,,
Water Adaptability,Biest,Kingdom/Region,Oceans,T1,3,(Natural Weapons): Natural Weapon 1 - Your Choice (Melee Only),,
Creature of the Deep,Biest,Kingdom/Region,Oceans,T2,12,(Natural Weapons): Phenotypic Morph 2 - Your Choice,,
Deepwater Survival,Biest,Kingdom/Region,Oceans,T2,10,Increase Defense 1,,
Open Sea Predation,Biest,Kingdom/Region,Oceans,T2,12,Increase Martial 1; Increase Ranged 1 or an Increase Movement 2,,
Protective Scales,Biest,Kingdom/Region,Oceans,T2,8,(Natural Defenses): Natural Armor 2,,
Watery Depths,Biest,Kingdom/Region,Oceans,T2,10,(Natural Weapons and Defenses): Phenotypic Morph 2 - Your Choice,,
Inherent Command,Biest,Kingdom/Region,Plains,T1,3,Command Value 1,,
Plains Nomads,Biest,Kingdom/Region,Plains,T1,1,Bonus Class 1 - Level 1; Species Trait Only,,
Open Landscape,Biest,Kingdom/Region,Plains,T1,5,Natural Sprinter 3,,
Plains Survival,Biest,Kingdom/Region,Plains,T1,6,Increase Martial 1,,
Ranged Preference,Biest,Kingdom/Region,Plains,T1,5,Increase Ranged 1,,
Large Beast of the Plains,Biest,Kingdom/Region,Plains,T2,8,Increase Size 1,,
Precision Shots,Biest,Kingdom/Region,Plains,T2,8,Increase Ranged 1,,
Space to Roam,Biest,Kingdom/Region,Plains,T2,6,Increase Movement 1,,
Grassland Assault,Biest,Kingdom/Region,Plains,T2,15,Relentless Assault 1,,
Wide Open Spaces,Biest,Kingdom/Region,Plains,T2,1,Open Spaces 2,,
Aerial Precision,Biest,Kingdom/Region,Sky,T1,6,Increase Ranged 1,,
Skyflight,Biest,Kingdom/Region,Sky,T1,8,Flight,,
Open Air,Biest,Kingdom/Region,Sky,T1,5,Aerial Movement 1,,
Resistance to Lightning,Biest,Kingdom/Region,Sky,T1,1,Resistance Extremis Lightning 2,,
Weather Sense,Biest,Kingdom/Region,Sky,T1,4,Weather Sense,,
Aerial Combat,Biest,Kingdom/Region,Sky,T2,10,Aerial Combat 1,,
Vantage Point,Biest,Kingdom/Region,Sky,T2,6,High Ground Advantage 1,,
Sky Command,Biest,Kingdom/Region,Sky,T2,12,Increase Command 2,,
Sky Dive,Biest,Kingdom/Region,Sky,T2,8,Diving Assault 2,,
Vertical Mobility,Biest,Kingdom/Region,Sky,T2,8,Agile Flight,,
Cold Resistance,Biest,Kingdom/Region,Tundra,T1,2,Resistance Extremis Cold 2,,
Icey Fortitude,Biest,Kingdom/Region,Tundra,T1,10,Increase Wounds 1,,
Natural Specialization,Biest,Kingdom/Region,Tundra,T1,8,(Natural Weapons): Natural Weapons 1 - Your Choice,,
Tundra Nomads,Biest,Kingdom/Region,Tundra,T1,1,Bonus Class 1 - Level 1; Species Trait Only,,
Twilight Vision,Biest,Kingdom/Region,Tundra,T1,2,Low Light Vision,,
Aurora Mysticism,Biest,Kingdom/Region,Tundra,T2,6,Increase Willpower 1,,
Frozen Wastes,Biest,Kingdom/Region,Tundra,T2,20,Increase Size 2,,
Great Weapon,Biest,Kingdom/Region,Tundra,T2,0,Armory: Great Weapon 1 10pts,,
Strength of the North,Biest,Kingdom/Region,Tundra,T2,6,Increase Strength 2,,
Wasteland Survival,Biest,Kingdom/Region,Tundra,T2,18,(Natural Weapons): Phenotypic Morph 2 - Your Choice; Class Trait Only,,
Aberration,Biest,Genetic Mutation,Aberration,T1,8,Aberrational Increase Characteristic 1 - Your Choice; Decrease Characteristic 1 - Opposite,,
Magic Dampening,Biest,Genetic Mutation,Aberration,T1,12,Anathema 3,,
